"Transaction_Date","Transaction_Time","Transaction_Charge","Transaction_RemainingBalance","Transaction_Location"
"2018-SEP-20","07:26 PM","$7.99","$898.01","Center Table"
"2018-SEP-21","08:40 AM","$4.75","$893.26","Local Point"
"2018-SEP-21","11:32 AM","$6.99","$886.27","Local Point"
"2018-SEP-21","08:20 PM","$7.30","$878.97","Pagliacci @ LP"
"2018-SEP-22","11:11 AM","$1.89","$877.08","District Market"
"2018-SEP-22","02:41 PM","$9.44","$867.64","Pagliacci @ LP"
"2018-SEP-24","10:42 AM","$7.99","$859.65","Local Point"
"2018-SEP-25","11:13 AM","$6.19","$853.46","Local Point"
"2018-SEP-25","03:56 PM","$7.16","$846.30","HD - Pagliacci"
"2018-SEP-25","08:50 PM","$20.53","$825.77","District Market"
"2018-SEP-26","07:07 PM","$8.50","$817.27","Local Point"
"2018-SEP-27","03:22 PM","$10.94","$806.33","Pagliacci @ LP"
"2018-SEP-28","07:01 PM","$7.14","$799.19","Local Point"
"2018-SEP-29","12:25 PM","$6.90","$792.29","Pagliacci @ LP"
"2018-SEP-30","07:45 PM","$7.75","$784.54","Local Point"
"2018-OCT-01","03:31 PM","$8.80","$775.74","HD - DM Crafted"
"2018-OCT-01","07:48 PM","$7.99","$767.75","Local Point"
"2018-OCT-02","02:37 PM","$6.90","$760.85","Pagliacci @ LP"
"2018-OCT-03","10:41 AM","$6.99","$753.86","Local Point"
"2018-OCT-03","03:28 PM","$7.48","$746.38","HD - DM Crafted"
"2018-OCT-03","07:51 PM","$7.99","$738.39","Local Point"
"2018-OCT-04","02:28 PM","$7.71","$730.68","MD - Motosurf"
"2018-OCT-04","09:58 PM","$12.94","$717.74","District Market"
"2018-OCT-05","01:32 PM","$8.68","$709.06","Local Point"
"2018-OCT-05","06:59 PM","$6.50","$702.56","Local Point"
"2018-OCT-07","12:35 PM","$7.10","$695.46","Pagliacci @ LP"
"2018-OCT-08","03:15 PM","$9.56","$685.90","HD - Dub Street"
"2018-OCT-09","12:27 PM","$7.48","$678.42","HD - DM Crafted"
"2018-OCT-10","01:45 PM","$8.80","$669.62","HD - DM Crafted"
"2018-OCT-11","10:07 AM","$13.55","$656.07","District Market"
"2018-OCT-11","02:40 PM","$7.90","$648.17","Pagliacci @ LP"
"2018-OCT-12","01:46 PM","$6.99","$641.18","Local Point"
"2018-OCT-13","01:15 PM","$6.61","$634.57","Cafe - Dawg Bites"
"2018-OCT-13","07:19 PM","$7.75","$626.82","Local Point"
"2018-OCT-14","07:20 PM","$7.70","$619.12","Pagliacci @ LP"
"2018-OCT-16","11:30 AM","$8.80","$610.32","HD - Dub Street"
"2018-OCT-17","06:51 PM","$7.75","$602.57","Local Point"
"2018-OCT-18","03:06 PM","$8.88","$593.69","District Market"
"2018-OCT-19","01:31 PM","$6.99","$586.70","Local Point"
